seed,checkpoint,batch,batch_hash,scope,instances_or_assigned_positives,box_loss,cls_loss,dfl_loss,loc_norm,cls_norm,cls_to_loc_norm_ratio,log10_cls_to_loc_ratio,cosine,conflict,finite
43,epoch50,26,d3630edb5cad7433911883c7c4c6d5fe7e5856e35b45f6a8bb6c8d5499c386f1,D00,45,1.3417750597000122,1.2162200212478638,0.008832622319459915,0.025563793256878853,0.012720378115773201,0.49759352956550484,-0.3031252756087711,-0.05181805416941643,1,1
43,epoch50,26,d3630edb5cad7433911883c7c4c6d5fe7e5856e35b45f6a8bb6c8d5499c386f1,D10,83,1.3417750597000122,1.2162200212478638,0.008832622319459915,0.03842782974243164,0.015557031147181988,0.40483762032504433,-0.3927191366316553,0.5642996430397034,0,1
43,epoch50,26,d3630edb5cad7433911883c7c4c6d5fe7e5856e35b45f6a8bb6c8d5499c386f1,D20,170,1.3417750597000122,1.2162200212478638,0.008832622319459915,0.0071867420338094234,0.006631877738982439,0.9227933474978409,-0.03489554500854336,0.1715712994337082,0,1
43,epoch50,26,d3630edb5cad7433911883c7c4c6d5fe7e5856e35b45f6a8bb6c8d5499c386f1,D40,111,1.3417750597000122,1.2162200212478638,0.008832622319459915,0.02557225711643696,0.01553613692522049,0.6075387422580857,-0.21642602223596163,0.13833829760551453,0,1
43,epoch50,27,3708d434b5f52016554190e86c55f7d348fc1df0fd5af7c3b5cd80296ff25431,all,20,1.9303081035614014,1.4767098426818848,0.023258134722709656,0.007358130533248186,0.008891553618013859,1.2083984617881949,0.08221016377326854,0.036311134696006775,0,1
43,epoch50,27,3708d434b5f52016554190e86c55f7d348fc1df0fd5af7c3b5cd80296ff25431,D00,18,1.9303081035614014,1.4767098426818848,0.023258134722709656,0.035199087113142014,0.03981669247150421,1.131185372606955,0.05353378061375353,-0.021199019625782967,1,1
43,epoch50,27,3708d434b5f52016554190e86c55f7d348fc1df0fd5af7c3b5cd80296ff25431,D10,30,1.9303081035614014,1.4767098426818848,0.023258134722709656,0.01757192425429821,0.012469320558011532,0.7096161113351859,-0.14897653271334382,-0.1946079581975937,1,1
43,epoch50,27,3708d434b5f52016554190e86c55f7d348fc1df0fd5af7c3b5cd80296ff25431,D20,120,1.9303081035614014,1.4767098426818848,0.023258134722709656,0.008249611593782902,0.010277903638780117,1.245865156430611,0.09547103992576036,0.05330647528171539,0,1
43,epoch50,27,3708d434b5f52016554190e86c55f7d348fc1df0fd5af7c3b5cd80296ff25431,D40,14,1.9303081035614014,1.4767098426818848,0.023258134722709656,0.0,0.022985657677054405,,,,,1
43,epoch50,28,a98b1fcfc47c8cf2bad69c00d1f7c9b8bcef8312c34a4da3914256dbb3ec791e,all,37,1.3547453880310059,1.2599647045135498,0.0143339354544878,0.008333781734108925,0.005563960410654545,0.6676393248796144,-0.1754580906937612,-0.037006229162216187,1,1
43,epoch50,28,a98b1fcfc47c8cf2bad69c00d1f7c9b8bcef8312c34a4da3914256dbb3ec791e,D00,30,1.3547453880310059,1.2599647045135498,0.0143339354544878,0.041920602321624756,0.02764439769089222,0.6594465766211534,-0.18082038194993824,-0.12861225008964539,1,1
43,epoch50,28,a98b1fcfc47c8cf2bad69c00d1f7c9b8bcef8312c34a4da3914256dbb3ec791e,D10,100,1.3547453880310059,1.2599647045135498,0.0143339354544878,0.022945348173379898,0.01242457889020443,0.54148574239631,-0.26641297408967896,0.048999808728694916,0,1
43,epoch50,28,a98b1fcfc47c8cf2bad69c00d1f7c9b8bcef8312c34a4da3914256dbb3ec791e,D20,180,1.3547453880310059,1.2599647045135498,0.0143339354544878,0.004335495177656412,0.005048142280429602,1.1643750191318207,0.06609287937620113,0.04335040599107742,0,1
43,epoch50,28,a98b1fcfc47c8cf2bad69c00d1f7c9b8bcef8312c34a4da3914256dbb3ec791e,D40,41,1.3547453880310059,1.2599647045135498,0.0143339354544878,0.037528038024902344,0.018231909722089767,0.48582102027267415,-0.3135236982774233,0.19554585218429565,0,1
43,epoch50,29,2225223d7da6b47c0e6dcf38e16fd1007a3c71319a5a080ce19997478a3e9f8d,all,29,1.6506139039993286,1.2466715574264526,0.01182032935321331,0.01979946717619896,0.008874175138771534,0.44820272484096063,-0.3485255075069012,0.13400912284851074,0,1
43,epoch50,29,2225223d7da6b47c0e6dcf38e16fd1007a3c71319a5a080ce19997478a3e9f8d,D00,30,1.6506139039993286,1.2466715574264526,0.01182032935321331,0.07305309176445007,0.028254184871912003,0.38676234214718586,-0.412555818440768,-0.05240130424499512,1,1
43,epoch50,29,2225223d7da6b47c0e6dcf38e16fd1007a3c71319a5a080ce19997478a3e9f8d,D10,70,1.6506139039993286,1.2466715574264526,0.01182032935321331,0.05341077223420143,0.026472775265574455,0.49564487009275426,-0.30482938439524765,0.28301653265953064,0,1
43,epoch50,29,2225223d7da6b47c0e6dcf38e16fd1007a3c71319a5a080ce19997478a3e9f8d,D20,120,1.6506139039993286,1.2466715574264526,0.01182032935321331,0.013952507637441158,0.009341452270746231,0.6695178037873786,-0.17423786975905373,-0.2392437756061554,1,1
43,epoch50,29,2225223d7da6b47c0e6dcf38e16fd1007a3c71319a5a080ce19997478a3e9f8d,D40,59,1.6506139039993286,1.2466715574264526,0.01182032935321331,0.029832085594534874,0.016843587160110474,0.5646131279268036,-0.24824902820842798,0.020454734563827515,0,1
43,epoch50,30,b04a9f5f8c8525ee7d89d5ab3951357bcb40fe551b1336bd27c9a1653c34a525,all,16,1.393176555633545,1.0846161842346191,0.020121047273278236,0.003507965477183461,0.006610616110265255,1.884458713536972,0.27518662696498813,0.2371888905763626,0,1
43,epoch50,30,b04a9f5f8c8525ee7d89d5ab3951357bcb40fe551b1336bd27c9a1653c34a525,D00,10,1.393176555633545,1.0846161842346191,0.020121047273278236,0.02420654147863388,0.05923329293727875,2.4469952880117773,0.38863313306553904,-0.13414593040943146,1,1
43,epoch50,30,b04a9f5f8c8525ee7d89d5ab3951357bcb40fe551b1336bd27c9a1653c34a525,D10,34,1.393176555633545,1.0846161842346191,0.020121047273278236,0.015182596631348133,0.027024302631616592,1.7799526186329946,0.25040844178074034,0.1943349391222,0,1
43,epoch50,30,b04a9f5f8c8525ee7d89d5ab3951357bcb40fe551b1336bd27c9a1653c34a525,D20,100,1.393176555633545,1.0846161842346191,0.020121047273278236,0.0034386594779789448,0.004492264240980148,1.3063998542886994,0.11607612328891692,0.20325200259685516,0,1
43,epoch50,30,b04a9f5f8c8525ee7d89d5ab3951357bcb40fe551b1336bd27c9a1653c34a525,D40,3,1.393176555633545,1.0846161842346191,0.020121047273278236,0.0,0.004031514748930931,,,,,1
